power.draw [W], utilization.gpu [%], utilization.memory [%]
194.08 W, 99 %, 96 %
194.05 W, 99 %, 96 %
194.05 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.60 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.47 W, 99 %, 96 %
193.47 W, 99 %, 96 %
193.51 W, 99 %, 96 %
194.24 W, 99 %, 96 %
194.24 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.60 W, 99 %, 96 %
194.05 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
194.08 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.08 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.18 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 96 %
194.27 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.37 W, 99 %, 96 %
